        45729680     1.01    15.78
        26174521     0.94    39.08
           80327     2.25     9.20
           69582     2.02     9.65
         1573439     1.32    18.41
         1463918     1.14    17.14
           38515     3.22     8.54
         2461652     1.21    18.23
           21119     3.17     7.02
         1684215     1.14    18.20
           21170     3.18     7.09
         1117784     1.06    18.19
           21256     3.22     7.17
         3677724     1.22    18.64
           21907     3.17     7.23
         1428637     1.25    18.44
         3556082     1.28    17.92
         2826972     1.20    20.08
           20891     3.20     6.99
         1656672     1.10    17.82
           21145     3.30     7.08
        99937820     0.69    37.44
       412815326     0.76    95.30
       384719903     0.76    95.19
       383933655     0.76    95.08
       397956300     0.77    94.72
       398408659     0.76    95.08
       390777680     0.77    95.04
       400066396     0.76    95.10
       397830625     0.76    94.96
       397637068     0.76    94.97
       400091488     0.76    95.00
       396247263     0.76    94.83
       388991958     0.78    95.08
       405407541     0.76    95.00
       308969236     0.76    74.06
       399822387     0.76    95.07
       374668460     0.76    88.40
       401505476     0.76    95.00
       382265390     0.76    95.01
       105040140     0.75    24.03
       388435892     0.76    89.88
       384207494     0.79    95.53
       384833357     0.75    96.03
       435017611     0.74    96.67
       352377926     0.82    93.63
        74989047     0.97    22.86
       261284824     0.99    83.08
       289162077     0.99    89.17
       275100609     1.06    89.99
       416356739     0.75    99.16
       424266634     0.74    98.65
       428035564     0.74    98.60
       434906361     0.72    98.73
       417447599     0.75    98.80
       428015239     0.74    98.74
       418107046     0.74    97.97
        95715369     0.80    23.93
       131190670     0.77    31.31
       350935419     0.88    98.19
       347732880     0.91    98.42
       344238863     0.92    98.56
       320335935     0.98    98.59
       317770621     1.00    98.75
       284798876     1.11    99.02
       259731973     1.20    98.91
       275437465     1.17    99.12
       246997822     1.17    92.18
       294280264     1.19    99.19
       229907571     1.17    91.63
       266610291     1.17    99.15
       214862430     1.53    99.01
       185093816     1.63    98.91
       212993004     1.47    98.84
       219600083     1.46    99.20
       229100799     1.41    99.12
       187653571     1.77    99.08
       172903274     1.78    99.05
       171971503     1.85    99.18
       303596984     1.17    99.05
       592785359     0.54    99.42
       251179077     0.66    57.77
               0     0.92   118.57
       733347594     0.52    99.63
       675672998     0.61    99.76
